Type,GlobalId,Name,Tag
IfcWall,2O2Fr$t4X7Zf8NOew3FKau,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:143239,143239
IfcWall,2O2Fr$t4X7Zf8NOew3FNld,Basic Wall:Interior - Partition (92mm Stud):138584,138584
IfcWall,2O2Fr$t4X7Zf8NOew3FNbT,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139234,139234
IfcWall,2O2Fr$t4X7Zf8NOew3FKRi,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139347,139347
IfcWall,2O2Fr$t4X7Zf8NOew3FKRH,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139374,139374
IfcWall,2O2Fr$t4X7Zf8NOew3FKIu,Basic Wall:Interior - Partition (92mm Stud):139783,139783
IfcWall,2O2Fr$t4X7Zf8NOew3FKGS,Basic Wall:Interior - Partition (92mm Stud):139939,139939
IfcWall,2O2Fr$t4X7Zf8NOew3FK80,Basic Wall:Foundation - Concrete (417mm):140479,140479
IfcWall,2O2Fr$t4X7Zf8NOew3FK9N,Basic Wall:Foundation - Concrete (417mm):140520,140520
IfcWall,2O2Fr$t4X7Zf8NOew3FKEr,Basic Wall:Foundation - Concrete (417mm):140554,140554
IfcWall,2O2Fr$t4X7Zf8NOew3FKE5,Basic Wall:Foundation - Concrete (417mm):140602,140602
IfcWall,2O2Fr$t4X7Zf8NOew3FK3E,Basic Wall:Foundation - Concrete (435mm):140913,140913
IfcWall,2O2Fr$t4X7Zf8NOew3FK04,Basic Wall:Foundation - Concrete (435mm):140987,140987
IfcWall,2O2Fr$t4X7Zf8NOew3FK1b,Basic Wall:Foundation - Concrete (435mm):141018,141018
IfcWall,2O2Fr$t4X7Zf8NOew3FLMr,Basic Wall:Interior - Plumbing (152mm Stud):144138,144138
IfcWall,2O2Fr$t4X7Zf8NOew3FLKI,Basic Wall:Interior - Partition (92mm Stud):144301,144301
IfcWall,2O2Fr$t4X7Zf8NOew3FLEJ,Basic Wall:Interior - Partition (92mm Stud):144684,144684
IfcWall,2O2Fr$t4X7Zf8NOew3FLCm,Basic Wall:Interior - Plumbing (152mm Stud):144783,144783
IfcWall,2O2Fr$t4X7Zf8NOew3FNqI,Basic Wall:Exterior - Brick on Block:138157,138157
IfcWall,2O2Fr$t4X7Zf8NOew3FNhv,Basic Wall:Exterior - Brick on Block:138310,138310
IfcWall,2O2Fr$t4X7Zf8NOew3FLQD,Basic Wall:Exterior - Brick on Block:143410,143410
IfcWall,2O2Fr$t4X7Zf8NOew3FLOH,Basic Wall:Exterior - Brick on Block:143534,143534
IfcWall,2O2Fr$t4X7Zf8NOew3FKST,Basic Wall:Interior - Partition (92mm Stud):139682,139682
IfcWall,2O2Fr$t4X7Zf8NOew3FNau,Basic Wall:Interior - Partition (92mm Stud):139143,139143
IfcWall,2O2Fr$t4X7Zf8NOew3FLTF,Basic Wall:Interior - Partition (92mm Stud):143856,143856
IfcWall,2O2Fr$t4X7Zf8NOew3FL8v,Basic Wall:Interior - Partition (92mm Stud):144518,144518
IfcWall,2O2Fr$t4X7Zf8NOew3FLJd,Basic Wall:Interior - Partition (92mm Stud):143960,143960
IfcWall,2O2Fr$t4X7Zf8NOew3FL96,Basic Wall:Interior - Partition (92mm Stud):144633,144633
IfcWall,2O2Fr$t4X7Zf8NOew3FLIE,Basic Wall:Interior - Partition (92mm Stud):143921,143921
IfcWall,2O2Fr$t4X7Zf8NOew3FL9r,Basic Wall:Interior - Partition (92mm Stud):144586,144586
IfcWall,2O2Fr$t4X7Zf8NOew3FNtn,Basic Wall:Exterior - Brick on Block:138062,138062
IfcWall,2O2Fr$t4X7Zf8NOew3FNr2,Basic Wall:Exterior - Brick on Block:138237,138237
IfcWall,2O2Fr$t4X7Zf8NOew3FLR9,Basic Wall:Exterior - Brick on Block:143478,143478
IfcWall,2O2Fr$t4X7Zf8NOew3FLPP,Basic Wall:Exterior - Brick on Block:143590,143590
IfcWall,0jf0rYHfX3RAB3bSIRjmmy,Basic Wall:Exterior - Brick on Block:184944,184944
IfcWall,0jf0rYHfX3RAB3bSIRjmpw,Basic Wall:Exterior - Brick on Block:185014,185014
IfcWall,0jf0rYHfX3RAB3bSIRjmoa,Basic Wall:Exterior - Brick on Block:185064,185064
IfcWall,0jf0rYHfX3RAB3bSIRjmr1,Basic Wall:Exterior - Brick on Block:185101,185101
IfcWall,0iEHWY1$XA8eQeeULq4jZ1,Basic Wall:Interior - Furring (152 mm Stud):189074,189074
IfcWall,0iEHWY1$XA8eQeeULq4j_U,Basic Wall:Interior - Furring (152 mm Stud):189901,189901
IfcWall,0iEHWY1$XA8eQeeULq4jpl,Basic Wall:Interior - Partition (92mm Stud):190140,190140
IfcWall,0iEHWY1$XA8eQeeULq4jDb,Basic Wall:Interior - Furring (152 mm Stud):190774,190774
IfcWall,0iEHWY1$XA8eQeeULq4jE6,Basic Wall:Interior - Furring (152 mm Stud):190933,190933
IfcWall,0dxE1Sy6nDqfpDb5vIMNiA,Basic Wall:Interior - Furring (152 mm Stud):193247,193247
IfcWall,0dxE1Sy6nDqfpDb5vIMN_Z,Basic Wall:Interior - Furring (152 mm Stud):194166,194166
IfcWall,1aj$VJZFn2TxepZUBcKpvt,Basic Wall:Interior - Partition (92mm Stud):203347,203347
IfcWall,1aj$VJZFn2TxepZUBcKpZw,Basic Wall:Interior - Partition (92mm Stud):203998,203998
IfcWall,1aj$VJZFn2TxepZUBcKpee,Basic Wall:Interior - Partition (92mm Stud):204300,204300
IfcWall,1aj$VJZFn2TxepZUBcKphf,Basic Wall:Interior - Partition (92mm Stud):204493,204493
IfcWall,3Y4YRln2r91vflHcHE5IVS,Basic Wall:Interior - Furring (38 mm Stud):217414,217414
IfcWall,3Y4YRln2r91vflHcHE5IVT,Basic Wall:Interior - Furring (38 mm Stud):217415,217415
IfcWall,3Y4YRln2r91vflHcHE5IVI,Basic Wall:Interior - Furring (38 mm Stud):217416,217416
